Date,PM2.5,LastDayPM2.5,Benzene,CO,NH3,NO,NO2,NOx,O3,PM10,SO2,Toluene,Xylene
2019-09-02,13.62,,3.42,0.55,0.78,8.15,4.28,12.15,45.86,87.4,10.12,0.33,4.15
2019-09-03,27.93,13.62,3.39,0.79,0.88,9.72,4.71,14.19,30.18,95.68,9.36,0.04,3.82
2019-09-04,34.05,27.93,5.27,0.93,1.68,16.53,9.83,25.86,17.23,90.68,4.27,0.89,21.98
2019-09-05,,34.05,4.77,0.58,1.11,11.03,4.9,16.06,26.81,59.99,14.1,1.81,57.52
2019-09-06,,,2.81,0.9,1.38,7.3,2.69,9.88,9.36,65.86,9.26,2.13,43.24
2019-09-07,,,17.23,0.78,1.7,10.35,3.73,14.09,16.77,91.04,10.48,2.02,51.82
2019-09-08,,,9.04,0.49,1.53,8.64,3.06,4.68,23.08,64.62,8.71,1.93,4.64
2019-09-09,,,5.36,0.67,1.06,6.5,2.63,8.91,40.5,89.94,9.52,2.36,1.39
2019-09-10,,,4.53,0.75,1.37,7.68,2.76,10.41,33.4,97.12,8.71,2.14,1.4
2019-09-11,,,6.02,0.75,1.34,7.93,3.08,11.04,34.62,122.52,8.51,2.33,1.29
2019-09-12,,,6.72,0.7,1.53,7.32,3.89,11.28,29.28,125.4,6.02,2.2,1.34
2019-09-13,,,8.35,0.49,1.09,8.23,5.34,10.71,26.61,62.29,7.76,2.03,1.25
2019-09-14,,,5.09,0.6,1.06,8.81,4.62,10.75,24.06,65.68,7.55,1.91,1.27
2019-09-15,,,3.91,0.55,1.25,7.44,2.62,9.98,31.07,72.54,10.1,1.87,1.34
2019-09-16,,,3.82,0.54,1.08,6.47,2.47,8.38,36.46,106.87,9.84,1.86,1.36
2019-09-17,,,4.81,0.64,1.17,6.87,2.77,9.65,41.84,119.42,10.68,2.13,1.37
2019-09-18,,,4.57,0.66,1.25,5.99,4.62,10.49,44.79,118.59,11.07,2.05,1.27
2019-09-19,38.1,,7.14,0.65,1.37,7.61,3.3,10.9,26.14,61.67,14.74,1.94,2.15
2019-09-20,40.41,38.1,4.46,0.55,3.76,10.52,3.96,12.79,28.6,67.91,9.97,2.02,1.48
2019-09-21,27.21,40.41,3.57,0.53,5.9,8.6,7.2,10.64,34.72,62.04,9.63,2.08,1.32
2019-09-22,29.75,27.21,4.0,0.55,5.98,10.22,5.64,11.21,21.21,64.56,8.67,1.72,1.31
2019-09-23,18.35,29.75,5.97,0.51,5.94,9.53,4.55,10.1,27.24,49.86,8.83,5.59,7.5
2019-09-24,34.43,18.35,4.85,0.66,5.87,9.8,4.23,10.04,37.1,89.26,8.71,2.52,1.49
2019-09-25,33.66,34.43,5.69,0.73,5.97,10.94,6.56,11.8,21.1,105.3,8.19,2.16,1.39
2019-09-26,22.93,33.66,4.74,0.79,6.34,13.33,6.05,10.8,17.26,73.73,12.05,1.81,1.28
2019-09-27,16.0,22.93,7.3,0.83,6.51,18.72,5.25,17.25,24.57,57.51,12.05,1.96,1.25
2019-09-28,22.41,16.0,4.98,0.56,6.57,18.75,5.06,17.87,31.23,59.18,13.4,1.65,1.36
2019-09-29,13.93,22.41,2.79,0.5,6.1,12.76,3.31,7.67,16.21,49.87,14.95,1.66,1.55
2019-09-30,,13.93,8.22,0.81,6.79,23.3,5.59,19.89,9.66,87.46,18.05,2.29,3.12
2019-10-01,24.45,,6.07,0.85,7.27,27.37,5.3,24.85,12.58,49.4,16.05,1.89,2.33
2019-10-02,15.77,24.45,4.99,0.54,6.2,13.35,5.38,13.63,20.96,44.47,15.9,2.73,1.79
2019-10-03,29.59,15.77,6.85,0.71,6.24,10.47,7.86,12.9,19.05,71.0,16.42,2.43,1.85
2019-10-04,30.27,29.59,4.5,0.46,5.76,7.99,8.1,10.54,16.87,73.77,18.14,2.51,1.64
2019-10-05,25.9,30.27,4.37,0.44,5.9,9.62,4.75,10.27,17.33,77.68,15.09,2.27,1.41
2019-10-06,38.69,25.9,4.07,0.49,6.01,10.07,4.05,10.31,15.07,82.66,14.44,1.45,1.58
2019-10-07,53.09,38.69,4.88,0.51,5.96,8.63,5.0,9.58,17.72,112.6,11.35,0.65,1.67
2019-10-08,43.67,53.09,4.7,0.61,5.99,10.14,4.64,10.57,13.96,104.59,12.42,0.92,1.96
2019-10-09,53.12,43.67,5.99,0.85,6.57,17.13,5.73,16.77,16.92,120.09,13.54,1.07,2.17
2019-10-10,56.82,53.12,7.2,0.74,6.21,13.25,6.53,13.7,19.27,121.89,12.52,0.99,1.89
2019-10-11,50.45,56.82,5.31,0.74,6.27,13.64,6.51,14.27,11.03,106.22,10.38,0.86,1.76
2019-10-12,58.03,50.45,6.49,0.72,6.25,13.94,5.64,14.67,26.84,106.62,12.45,0.89,1.99
2019-10-13,57.61,58.03,5.98,0.71,6.21,15.52,4.3,14.77,19.64,112.63,11.66,0.96,2.01
2019-10-14,74.8,57.61,6.43,0.83,6.31,13.92,6.28,14.43,19.87,128.72,13.5,0.66,25.17
2019-10-15,73.44,74.8,6.67,0.95,6.47,16.48,6.34,16.6,15.35,135.12,12.4,0.55,49.92
2019-10-16,83.96,73.44,7.02,1.0,6.62,17.66,6.6,17.59,19.99,151.62,10.71,0.57,1.4
2019-10-17,80.65,83.96,6.95,0.88,6.95,16.88,7.57,17.78,22.35,133.85,10.2,0.55,1.33
2019-10-18,56.2,80.65,4.8,0.61,6.42,12.07,5.93,12.92,24.06,108.33,10.23,0.35,1.27
2019-10-19,51.84,56.2,4.92,0.62,6.49,14.08,5.48,14.22,18.3,109.52,11.54,0.4,3.8
2019-10-20,53.9,51.84,4.51,0.59,6.04,10.73,5.4,11.43,18.54,111.12,11.04,0.29,2.05
2019-10-21,53.79,53.9,4.71,0.54,6.14,11.51,5.22,11.97,19.03,117.94,10.41,0.3,3.57
2019-10-22,47.72,53.79,4.48,0.54,6.15,10.27,4.3,10.48,22.98,106.01,9.55,1.08,2.68
2019-10-23,46.9,47.72,5.49,0.73,6.75,18.05,5.96,17.37,16.13,108.1,10.67,2.45,3.01
2019-10-24,71.66,46.9,6.21,0.91,7.01,21.97,7.38,21.56,15.62,130.66,9.69,3.91,3.96
2019-10-25,92.3,71.66,3.33,0.99,6.61,17.22,7.59,17.86,17.21,159.18,10.21,8.64,1.03
2019-10-26,104.11,92.3,3.0,0.82,6.22,12.26,6.84,13.52,18.17,150.29,10.29,6.19,0.9
2019-10-27,122.16,104.11,3.04,0.73,7.79,7.8,16.3,11.84,17.49,180.25,9.92,5.9,0.81
2019-10-28,154.85,122.16,3.21,0.82,27.94,33.17,13.6,33.08,16.2,224.22,9.24,6.21,0.76
2019-10-29,110.06,154.85,3.47,1.29,40.84,36.29,19.43,43.39,14.68,184.04,9.28,8.34,0.95
2019-10-30,108.09,110.06,3.42,1.01,22.6,17.27,11.43,20.99,22.36,181.54,8.21,7.81,0.86
2019-10-31,109.17,108.09,3.29,0.99,12.73,9.28,10.06,13.98,24.24,169.19,8.87,6.73,0.85
2019-11-01,112.71,109.17,3.43,0.89,12.82,7.24,13.46,14.1,26.53,190.12,8.29,6.82,0.8
2019-11-02,123.26,112.71,4.25,1.02,19.21,14.3,11.76,18.63,14.22,190.28,9.04,7.47,0.82
2019-11-03,135.98,123.26,5.01,0.98,5.93,4.69,8.11,5.18,18.42,215.41,11.2,7.34,1.17
2019-11-04,114.56,135.98,4.44,0.69,4.2,4.58,6.33,7.82,16.51,166.58,9.56,6.1,1.05
2019-11-05,53.96,114.56,4.09,0.54,6.12,7.09,6.08,9.39,17.46,115.54,9.81,4.62,1.04
2019-11-06,58.85,53.96,3.88,1.02,17.58,15.47,7.78,13.85,9.64,125.5,11.69,7.38,1.16
2019-11-07,46.3,58.85,3.67,0.79,17.99,15.71,9.68,14.7,7.92,84.99,8.19,6.04,1.02
2019-11-08,45.3,46.3,3.36,0.74,7.29,38.26,8.67,35.9,9.4,72.48,9.2,4.68,0.89
2019-11-09,47.33,45.3,3.82,0.61,,11.26,7.59,13.85,10.68,80.15,10.8,3.91,0.92
2019-11-10,72.51,47.33,4.04,0.85,,18.24,7.08,15.67,9.62,131.65,12.45,6.33,1.23
